"0x8afbd8","Item/Weapon Number","End of List?","No. of Chars to Display (1 or 2)","Zero","Ranged Animation to Use","Ranged Animation Enabled","Zero","Zero","Alternate Pointer","***UNKNOWN*** (Use 0x01 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","Zero"
"0x0","0x1","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1","0x5","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x2","0x3","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x3","0x4","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x4","0x2","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x5","0x8","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x6","0xb","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7","0x10","0x0","2","0x0","0x1f","0x0","0x0","0x0","0x0","0x1","0x0","0x5","0x0"
"0x8","0xbc","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x9","0xe","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xa","0x9","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xb","0xa","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xc","0xc0","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xd","0xd","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xe","0x12","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0xf","0x13","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x10","0x14","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x11","0x16","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x12","0x17","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x13","0x15","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x14","0x18","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x15","0x19","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x16","0x1c","0x0","2","0x0","0x3","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x17","0x1b","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x18","0x1a","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x19","0x1e","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1a","0x95","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1b","0x96","0x0","2","0x0","0x3","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1c","0xc3","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1d","0x1f","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1e","0x20","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x1f","0x21","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x20","0x22","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x21","0x23","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x22","0x28","0x0","2","0x0","0x1","0x0","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x23","0xbd","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x24","0x26","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x25","0x24","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
"0x26","0x2b","0x0","2","0x0","0xff","0xff","0x0","0x0","0x0","0x1","0x0","0x0","0x0"
